! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
130.000000	0.00493304	130.000000	0.00445023	130.000000	0.00444714	130.000000	0.00444404	130.000000	0.00444734	130.000000	0.00444876	130.000000	1.47669e-06	
135.000000	0.00480061	135.000000	0.00433557	135.000000	0.00433175	135.000000	0.00432881	135.000000	0.00433207	135.000000	0.00433414	135.000000	1.42672e-06	
140.000000	0.00467696	140.000000	0.00422869	140.000000	0.00422451	140.000000	0.00422135	140.000000	0.00422457	140.000000	0.00422731	140.000000	1.38016e-06	
145.000000	0.00456123	145.000000	0.00412883	145.000000	0.00412435	145.000000	0.0041209 	145.000000	0.00412408	145.000000	0.0041275 	145.000000	1.33666e-06	
150.000000	0.00445266	150.000000	0.00403532	150.000000	0.00403014	150.000000	0.0040268 	150.000000	0.00402994	150.000000	0.00403403	150.000000	1.29592e-06	
155.000000	0.00429979	155.000000	0.00394757	155.000000	0.00394166	155.000000	0.00393845	155.000000	0.00394155	155.000000	0.00394631	155.000000	1.25769e-06	
160.000000	0.00421019	160.000000	0.00386506	160.000000	0.0038585 	160.000000	0.00385534	160.000000	0.00385841	160.000000	0.00386383	160.000000	1.22174e-06	
165.000000	0.00412569	165.000000	0.00378732	165.000000	0.00378011	165.000000	0.00377703	165.000000	0.00378007	165.000000	0.00378613	165.000000	1.18787e-06	
170.000000	0.00404587	170.000000	0.00371396	170.000000	0.00370611	170.000000	0.0037031 	170.000000	0.00370611	170.000000	0.00371281	170.000000	1.15591e-06	
175.000000	0.00397035	175.000000	0.00364462	175.000000	0.00363614	175.000000	0.00363321	175.000000	0.00363618	175.000000	0.00364349	175.000000	1.12568e-06	
180.000000	0.00389877	180.000000	0.00357897	180.000000	0.00356989	180.000000	0.00356702	180.000000	0.00356996	180.000000	0.00357787	180.000000	1.09706e-06	
185.000000	0.00383084	185.000000	0.00351672	185.000000	0.00350707	185.000000	0.00350425	185.000000	0.00350717	185.000000	0.00351565	185.000000	1.06991e-06	
190.000000	0.00376628	190.000000	0.00345763	190.000000	0.00344743	190.000000	0.00344465	190.000000	0.00344754	190.000000	0.00345658	190.000000	1.04413e-06	
195.000000	0.00370485	195.000000	0.00340144	195.000000	0.00339067	195.000000	0.00338798	195.000000	0.00339085	195.000000	0.00340042	195.000000	1.01961e-06	
200.000000	0.00364631	200.000000	0.00334796	200.000000	0.00333665	200.000000	0.00333404	200.000000	0.00333688	200.000000	0.00334697	200.000000	9.96256e-07	
210.000000	0.00353714	210.000000	0.00324837	210.000000	0.00323649	210.000000	0.00323357	210.000000	0.00323636	210.000000	0.00324742	210.000000	9.52742e-07	
220.000000	0.00343736	220.000000	0.00315752	220.000000	0.00314482	220.000000	0.00314192	220.000000	0.00314466	220.000000	0.00315661	220.000000	9.1301e-07	
230.000000	0.00334581	230.000000	0.00307432	230.000000	0.00306078	230.000000	0.00305798	230.000000	0.00306069	230.000000	0.00307344	230.000000	8.76581e-07	
240.000000	0.00326149	240.000000	0.00299784	240.000000	0.00298356	240.000000	0.00298084	240.000000	0.00298351	240.000000	0.002997  	240.000000	8.43054e-07	
250.000000	0.00318358	250.000000	0.00292731	250.000000	0.00291235	250.000000	0.00290971	250.000000	0.00291235	250.000000	0.0029265 	250.000000	8.12092e-07	
260.000000	0.00311138	260.000000	0.00286206	260.000000	0.00284649	260.000000	0.00284392	260.000000	0.00284652	260.000000	0.00286127	260.000000	7.83408e-07	
270.000000	0.00304427	270.000000	0.00280152	270.000000	0.00278542	270.000000	0.00278291	270.000000	0.00278548	270.000000	0.00280076	270.000000	7.56756e-07	
280.000000	0.00298174	280.000000	0.00274521	280.000000	0.00272862	280.000000	0.00272618	280.000000	0.00272872	280.000000	0.00274448	280.000000	7.31924e-07	
290.000000	0.00292333	290.000000	0.00269271	290.000000	0.00267565	290.000000	0.0026733 	290.000000	0.00267581	290.000000	0.002692  	290.000000	7.08731e-07	
300.000000	0.00286866	300.000000	0.00264364	300.000000	0.00262637	300.000000	0.0026239 	300.000000	0.00262639	300.000000	0.00264295	300.000000	6.87017e-07	
310.000000	0.00281737	310.000000	0.00259769	310.000000	0.0025803 	310.000000	0.00257767	310.000000	0.00258012	310.000000	0.00259702	310.000000	6.66643e-07	
320.000000	0.00276916	320.000000	0.00255457	320.000000	0.00253687	320.000000	0.0025343 	320.000000	0.00253674	320.000000	0.00255392	320.000000	6.47487e-07	
330.000000	0.00272377	330.000000	0.00251404	330.000000	0.00249606	330.000000	0.00249356	330.000000	0.00249597	330.000000	0.00251341	330.000000	6.29443e-07	
340.000000	0.00268096	340.000000	0.00247587	340.000000	0.00245767	340.000000	0.00245521	340.000000	0.0024576 	340.000000	0.00247525	340.000000	6.12414e-07	
350.000000	0.00264051	350.000000	0.00243986	350.000000	0.00242148	350.000000	0.00241906	350.000000	0.00242143	350.000000	0.00243926	350.000000	5.96316e-07	
360.000000	0.00260225	360.000000	0.00240585	360.000000	0.0023873 	360.000000	0.00238493	360.000000	0.00238728	360.000000	0.00240527	360.000000	5.81075e-07	
370.000000	0.002566  	370.000000	0.00237367	370.000000	0.002355  	370.000000	0.00235266	370.000000	0.00235499	370.000000	0.00237311	370.000000	5.66622e-07	
380.000000	0.00253161	380.000000	0.00234319	380.000000	0.00232441	380.000000	0.00232211	380.000000	0.00232442	380.000000	0.00234264	380.000000	5.52897e-07	
390.000000	0.00249895	390.000000	0.00231428	390.000000	0.00229542	390.000000	0.00229315	390.000000	0.00229545	390.000000	0.00231374	390.000000	5.39846e-07	
400.000000	0.00246788	400.000000	0.00228682	400.000000	0.0022679 	400.000000	0.00226566	400.000000	0.00226794	400.000000	0.0022863 	400.000000	5.2742e-07	
410.000000	0.00243831	410.000000	0.00226072	410.000000	0.00224175	410.000000	0.00223955	410.000000	0.00224181	410.000000	0.0022602 	410.000000	5.15574e-07	
420.000000	0.00241012	420.000000	0.00223587	420.000000	0.00221689	420.000000	0.00221471	420.000000	0.00221696	420.000000	0.00223537	420.000000	5.04268e-07	
430.000000	0.00238323	430.000000	0.0022122 	430.000000	0.0021932 	430.000000	0.00219106	430.000000	0.00219329	430.000000	0.00221171	430.000000	4.93466e-07	
440.000000	0.00235756	440.000000	0.00218962	440.000000	0.00217061	440.000000	0.00216851	440.000000	0.00217074	440.000000	0.00218914	440.000000	4.83134e-07	
450.000000	0.00233302	450.000000	0.00216807	450.000000	0.00214916	450.000000	0.00214709	450.000000	0.0021493 	450.000000	0.0021676 	450.000000	4.73242e-07	
460.000000	0.00230954	460.000000	0.00214748	460.000000	0.00212877	460.000000	0.00212664	460.000000	0.00212883	460.000000	0.00214702	460.000000	4.63762e-07	
470.000000	0.00228707	470.000000	0.00212779	470.000000	0.00210933	470.000000	0.00210709	470.000000	0.00210928	470.000000	0.00212734	470.000000	4.54668e-07	
480.000000	0.00226553	480.000000	0.00210895	480.000000	0.00209069	480.000000	0.0020884 	480.000000	0.00209057	480.000000	0.0021085 	480.000000	4.45937e-07	
490.000000	0.00224489	490.000000	0.0020909 	490.000000	0.00207278	490.000000	0.00207051	490.000000	0.00207267	490.000000	0.00209046	490.000000	4.37548e-07	
500.000000	0.00222507	500.000000	0.0020736 	500.000000	0.0020556 	500.000000	0.00205337	500.000000	0.00205552	500.000000	0.00207317	500.000000	4.2948e-07	
520.000000	0.00218778	520.000000	0.00204108	520.000000	0.00202337	520.000000	0.00202119	520.000000	0.00202332	520.000000	0.00204066	520.000000	4.14236e-07	
540.000000	0.00215331	540.000000	0.00201108	540.000000	0.00199369	540.000000	0.00199155	540.000000	0.00199366	540.000000	0.00201068	540.000000	4.00076e-07	
560.000000	0.00212137	560.000000	0.00198335	560.000000	0.00196628	560.000000	0.00196418	560.000000	0.00196627	560.000000	0.00198296	560.000000	3.86885e-07	
580.000000	0.00209173	580.000000	0.00195765	580.000000	0.00194091	580.000000	0.00193884	580.000000	0.00194092	580.000000	0.00195728	580.000000	3.74567e-07	
600.000000	0.00206416	600.000000	0.00193379	600.000000	0.00191739	600.000000	0.00191535	600.000000	0.00191741	600.000000	0.00193342	600.000000	3.63036e-07	
620.000000	0.00203847	620.000000	0.00191159	620.000000	0.00189552	620.000000	0.00189352	620.000000	0.00189556	620.000000	0.00191124	620.000000	3.52219e-07	
640.000000	0.00201449	640.000000	0.0018909 	640.000000	0.00187518	640.000000	0.00187319	640.000000	0.00187522	640.000000	0.00189056	640.000000	3.42051e-07	
660.000000	0.00199208	660.000000	0.00187159	660.000000	0.00185619	660.000000	0.00185424	660.000000	0.00185625	660.000000	0.00187126	660.000000	3.32474e-07	
680.000000	0.00197111	680.000000	0.00185354	680.000000	0.00183844	680.000000	0.00183654	680.000000	0.00183854	680.000000	0.00185322	680.000000	3.23437e-07	
700.000000	0.00195146	700.000000	0.00183664	700.000000	0.0018219 	700.000000	0.00181998	700.000000	0.00182197	700.000000	0.00183633	700.000000	3.14896e-07	
720.000000	0.00193302	720.000000	0.00182081	720.000000	0.00180648	720.000000	0.00180447	720.000000	0.00180645	720.000000	0.0018205 	720.000000	3.06811e-07	
